"Carimbo de data/hora","Matrícula","Qual sua idade ? ","Qual seu gênero ?","Qual a sua cor ?","Qua nível de escolaridade da sua mãe ?","Qual nível de escolaridade do seu pai ","Qual a renda familiar mensal total no período 2024.2 ?","Qual tipo de escola de ensino você frequentou no ensino médio ?","Onde você morava no período 2024.2 ?","Quantas pessoas moravam na sua residência  no período 2024.2 ?
","Como você se desloca para a universidade no período 2024.2?","Você tinha acesso a internet onde você morava no período 2024.2 ?","No período 2024.2  você tinha computador próprio para estudar ?","Você trabalhava no período 2024.2 ?","Quantas horas você trabalhava no período 2024.2 ?","Seu trabalho interferia no seu desempenho acadêmico no período 2024.2 ?","Você recebeu auxílio financeiro da universidade  no período 2024.2 ?","Você já pensou em desistir da universidade  no período 2024.2 por dificuldades financeiras ?","Qual a renda familiar mensal total no período 2024.4 ?","Onde você morava no período 2024.4 ?","Quantas pessoas moravam na sua residência  no período 2024.4 ?
","Como você se desloca para a universidade no período 2024.4 ?","Você tinha acesso a internet onde você morava no período 2024.4 ?","No período 2024.4  você tinha computador próprio para estudar ?","Você trabalhava no período 2024.4 ?","Quantas horas você trabalhava no período 2024.4 ?","Seu trabalho interferia no seu desempenho acadêmico no período 2024.4 ?","Você recebeu auxílio financeiro da universidade  no período 2024.4 ?","Você já pensou em desistir da universidade  no período 2024.4 por dificuldades financeiras ?"
"2025/04/08 9:35:31 AM GMT-3","202316040031","21 a 25 anos","Masculino","Preto","Ensino fundamental","Ensino fundamental","Até 1 salário mínimo","Pública","Casa própria","5 ou mais","Bicicleta/Andando","Sim","Não","Sim, estágio remunerado","Até 20 horas/semana","Sim, um pouco","Não","Sim","1 a 3 salários mínimos","Casa própria","5 ou mais","Bicicleta/Andando","Sim","Não","Sim, estágio remunerado","Até 20 horas/semana","Sim, um pouco","Não","Sim"
"2025/04/08 10:03:47 AM GMT-3","202116040023","21 a 25 anos","Feminino","Pardo","Ensino médio","Ensino superior","Até 1 salário mínimo","Pública","Casa própria","5 ou mais","Veículo próprio","Sim","Sim","Não","Não trabalhava no período","Não","Sim","Sim","Até 1 salário mínimo","Casa própria","5 ou mais","Veículo próprio","Sim","Sim","Não","Não trabalhava no período","Não","Sim","Sim"
"2025/04/08 11:34:11 AM GMT-3","202416040015","18 a 20 anos","Masculino","Preto","Ensino fundamental","Ensino fundamental","Até 1 salário mínimo","Pública","Aluguel","3 a 4","Bicicleta/Andando","Não","Não","Não","Não trabalhava no período","Não","Não","Sim","Até 1 salário mínimo","Aluguel","3 a 4","Bicicleta/Andando","Não","Não","Não","Não trabalhava no período","Não","Não","Sim"
"2025/04/08 11:34:15 AM GMT-3","202416040028","18 a 20 anos","Feminino","Pardo","Ensino fundamental","Ensino médio","Até 1 salário mínimo","Pública","Aluguel","1 a 2","Bicicleta/Andando","Sim","Não","Sim, trabalho informal","De 20 a 40 horas/semana","Sim, um pouco","Não","Sim","Até 1 salário mínimo","Aluguel","1 a 2","Bicicleta/Andando","Sim","Não","Sim, trabalho informal","De 20 a 40 horas/semana","Sim, um pouco","Não","Sim"
"2025/04/08 12:13:04 PM GMT-3","202416040013","21 a 25 anos","Masculino","Pardo","Ensino médio","Ensino fundamental","Até 1 salário mínimo","Pública","Casa própria","3 a 4","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Não","Não","Até 1 salário mínimo","Casa própria","3 a 4","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Não","Não"
"2025/04/08 1:22:29 PM GMT-3","202416040004","21 a 25 anos","Feminino","Pardo","Nenhuma","Ensino fundamental","Até 1 salário mínimo","Pública","Aluguel","3 a 4","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Não","Sim","Até 1 salário mínimo","Aluguel","3 a 4","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Não","Sim"
"2025/04/08 3:17:35 PM GMT-3","202116040006","21 a 25 anos","Masculino","Branco","Ensino médio","Ensino médio","Até 1 salário mínimo","Pública","Casa própria","3 a 4","Bicicleta/Andando","Não","Sim","Não","Não trabalhava no período","Não","Não","Sim","Até 1 salário mínimo","Casa própria","3 a 4","Bicicleta/Andando","Não","Sim","Não","Não trabalhava no período","Não","Não","Sim"
"2025/04/08 3:21:04 PM GMT-3","202116040005","21 a 25 anos","Feminino","Branco","Nenhuma","Nenhum","Até 1 salário mínimo","Pública","Casa própria","5 ou mais","Bicicleta/Andando","Sim","Sim","Não","Não trabalhava no período","Não","Não","Não","Até 1 salário mínimo","Casa própria","5 ou mais","Bicicleta/Andando","Sim","Sim","Não","Não trabalhava no período","Não","Não","Não"
"2025/04/08 6:33:04 PM GMT-3","202416040005","18 a 20 anos","Feminino","Branco","Ensino médio","Ensino médio","1 a 3 salários mínimos","Pública","Casa própria","3 a 4","Bicicleta/Andando","Sim","Sim","Sim, trabalho informal","Até 20 horas/semana","Sim, bastante","Não","Sim","1 a 3 salários mínimos","Casa própria","3 a 4","Bicicleta/Andando","Sim","Sim","Sim, trabalho informal","Até 20 horas/semana","Sim, bastante","Não","Sim"
"2025/04/08 7:13:54 PM GMT-3","202416040030","18 a 20 anos","Feminino","Branco","Ensino médio","Ensino médio","Até 1 salário mínimo","Pública","Casa própria","3 a 4","Bicicleta/Andando","Não","Não","Não","Não trabalhava no período","Não","Não","Não","Até 1 salário mínimo","Casa própria","3 a 4","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Não","Não"
"2025/04/08 7:50:44 PM GMT-3","202416040009","18 a 20 anos","Masculino","Pardo","Ensino médio","Ensino fundamental","Até 1 salário mínimo","Pública","Casa própria","3 a 4","Veículo próprio","Sim","Sim","Não","Não trabalhava no período","Não","Não","Não","Até 1 salário mínimo","Casa própria","3 a 4","Veículo próprio","Sim","Sim","Não","Não trabalhava no período","Não","Não","Não"
"2025/04/08 8:08:32 PM GMT-3","202016040030","21 a 25 anos","Feminino","Pardo","Ensino médio","Ensino superior","Até 1 salário mínimo","Pública","Aluguel","1 a 2","Bicicleta/Andando","Sim","Sim","Não","Não trabalhava no período","Não","Sim","Não","Até 1 salário mínimo","Aluguel","1 a 2","Bicicleta/Andando","Sim","Sim","Não","Não trabalhava no período","Não","Sim","Não"
"2025/04/08 8:54:30 PM GMT-3","202016040028","21 a 25 anos","Masculino","Pardo","Ensino fundamental","Ensino fundamental","Até 1 salário mínimo","Pública","Aluguel","1 a 2","Bicicleta/Andando","Sim","Sim","Não","Não trabalhava no período","Não","Sim","Sim","Até 1 salário mínimo","Aluguel","1 a 2","Bicicleta/Andando","Sim","Sim","Não","Não trabalhava no período","Não","Sim","Sim"
"2025/04/11 9:28:40 AM GMT-3","202316040005","18 a 20 anos","Masculino","Branco","Nenhuma","Nenhum","Até 1 salário mínimo","Pública","Casa própria","1 a 2","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Sim","Sim","Até 1 salário mínimo","Casa própria","1 a 2","Bicicleta/Andando","Sim","Não","Não","Não trabalhava no período","Não","Sim","Sim"
